occurrence_id,source_url,source_page_title,source_page_approved_indexable_status,destination_gated_url,destination_page_title,anchor_text,component_data_source_or_content_location,link_type,generation_context,relevant_product_family,current_destination_status,closest_approved_url,current_permanent_disposition_status,likely_future_action,implementation_risk
STG01C-LINK-015,https://www.samanportable.com/product/industrial-sheds,Industrial Sheds │ Custom Steel Spans │ SAMAN Portable,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/industrial-sheds/prefabricated-industrial-shed,Prefabricated Industrial Shed │ Pre-Built Steel │ SAMAN,prefabricated industrial shed,Rendered product card/grid; shared listing or commercial template,card,template-generated,industrial-sheds,TEMPORARY_200_NOINDEX_FOLLOW,/product/industrial-sheds,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-016,https://www.samanportable.com/product/industrial-sheds,Industrial Sheds │ Custom Steel Spans │ SAMAN Portable,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/industrial-sheds/steel-sheds,Steel Sheds │ Heavy-Duty 25-Year Structural Life │ SAMAN,steel sheds,Rendered product card/grid; shared listing or commercial template,card,template-generated,industrial-sheds,TEMPORARY_200_NOINDEX_FOLLOW,/product/industrial-sheds,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-017,https://www.samanportable.com/product/industrial-sheds,Industrial Sheds │ Custom Steel Spans │ SAMAN Portable,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/industrial-sheds/storage-sheds,"Heavy-Duty Storage Sheds | Secure, Weatherproof | SAMAN",storage sheds,Rendered product card/grid; shared listing or commercial template,card,template-generated,industrial-sheds,TEMPORARY_200_NOINDEX_FOLLOW,/product/industrial-sheds,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-018,https://www.samanportable.com/product/industrial-sheds,Industrial Sheds │ Custom Steel Spans │ SAMAN Portable,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/industrial-sheds/prefab-steel-house,Prefab Steel House — Custom 600 sq ft Steel Frame | SAMAN,prefab steel house,Rendered product card/grid; shared listing or commercial template,card,template-generated,industrial-sheds,TEMPORARY_200_NOINDEX_FOLLOW,/product/industrial-sheds,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-019,https://www.samanportable.com/product/industrial-sheds,Industrial Sheds │ Custom Steel Spans │ SAMAN Portable,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/peb-constructions,"PEB Construction │ Turnkey Design, Supply & Erect │ SAMAN",PEB constructions,Rendered product card/grid; shared listing or commercial template,card,template-generated,peb-constructions,TEMPORARY_200_NOINDEX_FOLLOW,/product/pre-engineered-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-020,https://www.samanportable.com/product/industrial-sheds/commercial-sheds,Commercial Sheds │ Custom Showroom & Workshop Spans – SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/industrial-sheds/steel-sheds,Steel Sheds │ Heavy-Duty 25-Year Structural Life │ SAMAN,steel sheds built around material specification,Rendered product card/grid; shared listing or commercial template,card,template-generated,industrial-sheds,TEMPORARY_200_NOINDEX_FOLLOW,/product/industrial-sheds,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-021,https://www.samanportable.com/product/industrial-sheds/commercial-sheds,Commercial Sheds │ Custom Showroom & Workshop Spans – SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/industrial-sheds/storage-sheds,"Heavy-Duty Storage Sheds | Secure, Weatherproof | SAMAN",a dedicated storage shed,Rendered product card/grid; shared listing or commercial template,card,template-generated,industrial-sheds,TEMPORARY_200_NOINDEX_FOLLOW,/product/industrial-sheds,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-022,https://www.samanportable.com/product/industrial-sheds/prefabricated-warehouses,Prefabricated Warehouses │ Custom Steel + PUF │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/industrial-sheds/steel-sheds,Steel Sheds │ Heavy-Duty 25-Year Structural Life │ SAMAN,galvanised steel shed structures,Rendered product card/grid; shared listing or commercial template,card,template-generated,industrial-sheds,TEMPORARY_200_NOINDEX_FOLLOW,/product/industrial-sheds,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-023,https://www.samanportable.com/product/industrial-sheds/prefabricated-warehouses,Prefabricated Warehouses │ Custom Steel + PUF │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/industrial-sheds/prefabricated-industrial-shed,Prefabricated Industrial Shed │ Pre-Built Steel │ SAMAN,An open-plan factory shed,Rendered product card/grid; shared listing or commercial template,card,template-generated,industrial-sheds,TEMPORARY_200_NOINDEX_FOLLOW,/product/industrial-sheds,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-024,https://www.samanportable.com/product/industrial-sheds/prefabricated-warehouses,Prefabricated Warehouses │ Custom Steel + PUF │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/industrial-sheds/storage-sheds,"Heavy-Duty Storage Sheds | Secure, Weatherproof | SAMAN",secure storage sheds,Rendered product card/grid; shared listing or commercial template,card,template-generated,industrial-sheds,TEMPORARY_200_NOINDEX_FOLLOW,/product/industrial-sheds,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-025,https://www.samanportable.com/product/pir-panel,PIR Panels Manufacturer in India | SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/sandwich-panel,"Sandwich Panel Manufacturer in India, Types, Cores & Sizes | SAMAN",Sandwich Panel Sandwich Panels View,Rendered related-product rail; shared commercial template,rail,template-generated,sandwich-panel,TEMPORARY_200_NOINDEX_FOLLOW,OWNER_MAPPING_REQUIRED,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-026,https://www.samanportable.com/product/portable-office,"Portable Office Cabin │ 9 Sizes, Factory-Fitted │ SAMAN",APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/portable-office/modern-office-cabin,"Office Cabin │ Premium Finish, 9 Sizes │ SAMAN",Modern Office Cabin,Rendered product card/grid; shared listing or commercial template,card,template-generated,portable-office,TEMPORARY_200_NOINDEX_FOLLOW,/product/portable-office,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-027,https://www.samanportable.com/product/portable-office,"Portable Office Cabin │ 9 Sizes, Factory-Fitted │ SAMAN",APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/portable-office/portable-office-container,Portable Office Container │ Built to Relocate │ SAMAN,Portable Office Container,Rendered product card/grid; shared listing or commercial template,card,template-generated,portable-office,TEMPORARY_200_NOINDEX_FOLLOW,/product/portable-office,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-028,https://www.samanportable.com/product/portable-toilet,Portable Toilet │ Construction Sites & Events │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/portable-toilet/movable-toilet-cabin,"Movable Toilet Cabin │ Pre-Built, Moves Site-to-Site | SAMAN",movable toilet cabin,Rendered product card/grid; shared listing or commercial template,card,template-generated,portable-toilet,TEMPORARY_200_NOINDEX_FOLLOW,/product/portable-toilet,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-029,https://www.samanportable.com/product/portable-toilet,Portable Toilet │ Construction Sites & Events │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/portable-toilet/portable-toilet-cabin,MS Steel Portable Toilet Cabin | 8×8×7 ft | SAMAN,portable toilet cabin,Rendered product card/grid; shared listing or commercial template,card,template-generated,portable-toilet,TEMPORARY_200_NOINDEX_FOLLOW,/product/portable-toilet,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-030,https://www.samanportable.com/product/portable-toilet,Portable Toilet │ Construction Sites & Events │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/portable-toilet/prefabricated-toilet,Prefab Toilet Unit for Construction Sites | SAMAN,prefabricated toilet,Rendered product card/grid; shared listing or commercial template,card,template-generated,portable-toilet,TEMPORARY_200_NOINDEX_FOLLOW,/product/portable-toilet,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-031,https://www.samanportable.com/product/portable-toilet,Portable Toilet │ Construction Sites & Events │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/portable-toilet/mobile-toilet,"Mobile Toilet │ Heavy-Duty, Crane-Movable │ SAMAN Portable",mobile toilet,Rendered product card/grid; shared listing or commercial template,card,template-generated,portable-toilet,TEMPORARY_200_NOINDEX_FOLLOW,/product/portable-toilet,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-032,https://www.samanportable.com/product/portable-toilet,Portable Toilet │ Construction Sites & Events │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/portable-toilet/readymade-toilet-cabin,"Readymade Toilet Cabin │ Factory-Fitted, No Wait │ SAMAN",readymade toilet cabin,Rendered product card/grid; shared listing or commercial template,card,template-generated,portable-toilet,TEMPORARY_200_NOINDEX_FOLLOW,/product/portable-toilet,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-033,https://www.samanportable.com/product/portable-toilet,Portable Toilet │ Construction Sites & Events │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/portable-toilet/mobile-toilet-cabin,Mobile Toilet Cabin for Events & Remote Sites | SAMAN,mobile toilet cabin,Rendered product card/grid; shared listing or commercial template,card,template-generated,portable-toilet,TEMPORARY_200_NOINDEX_FOLLOW,/product/portable-toilet,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-034,https://www.samanportable.com/product/pre-engineered-buildings,Pre-Engineered Buildings │ IS-Certified Manufacturer │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/pre-engineered-buildings/pre-engineered-building-structures,Pre-Engineered Building Structure │ Custom Steel │ SAMAN,pre-engineered building structures,Rendered product card/grid; shared listing or commercial template,card,template-generated,pre-engineered-buildings,TEMPORARY_200_NOINDEX_FOLLOW,/product/pre-engineered-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-035,https://www.samanportable.com/product/pre-engineered-buildings,Pre-Engineered Buildings │ IS-Certified Manufacturer │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/pre-engineered-buildings/pre-engineered-building-manufacturers,Pre-Engineered Building Manufacturer | Custom | SAMAN,pre-engineered building manufacturers,Rendered product card/grid; shared listing or commercial template,card,template-generated,pre-engineered-buildings,TEMPORARY_200_NOINDEX_FOLLOW,/product/pre-engineered-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-036,https://www.samanportable.com/product/pre-engineered-buildings,Pre-Engineered Buildings │ IS-Certified Manufacturer │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/pre-engineered-buildings/pre-engineered-steel-building-manufacturers,Custom Pre-Engineered Steel Building Manufacturers | SAMAN,pre-engineered steel building manufacturers,Rendered product card/grid; shared listing or commercial template,card,template-generated,pre-engineered-buildings,TEMPORARY_200_NOINDEX_FOLLOW,/product/pre-engineered-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-037,https://www.samanportable.com/product/pre-engineered-buildings,Pre-Engineered Buildings │ IS-Certified Manufacturer │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/pre-engineered-buildings/engineered-metal-buildings,Engineered Metal Building │ Industrial-Grade │ SAMAN Portable,engineered metal buildings,Rendered product card/grid; shared listing or commercial template,card,template-generated,pre-engineered-buildings,TEMPORARY_200_NOINDEX_FOLLOW,/product/pre-engineered-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-038,https://www.samanportable.com/product/pre-engineered-buildings,Pre-Engineered Buildings │ IS-Certified Manufacturer │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/peb-constructions,"PEB Construction │ Turnkey Design, Supply & Erect │ SAMAN",PEB constructions,Rendered product card/grid; shared listing or commercial template,card,template-generated,peb-constructions,TEMPORARY_200_NOINDEX_FOLLOW,/product/pre-engineered-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-039,https://www.samanportable.com/product/pre-engineered-buildings,Pre-Engineered Buildings │ IS-Certified Manufacturer │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/peb-constructions,"PEB Construction │ Turnkey Design, Supply & Erect │ SAMAN",PEB constructions,Rendered product card/grid; shared listing or commercial template,card,template-generated,peb-constructions,TEMPORARY_200_NOINDEX_FOLLOW,/product/pre-engineered-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-040,https://www.samanportable.com/product/prefab-buildings,Prefab Building │ Commercial & Industrial │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/prefab-buildings/prefab-office-buildings,Prefab Commercial Office Buildings | SAMAN,prefab office building,Rendered product card/grid; shared listing or commercial template,card,template-generated,prefab-buildings,TEMPORARY_200_NOINDEX_FOLLOW,/product/prefab-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-041,https://www.samanportable.com/product/prefab-buildings,Prefab Building │ Commercial & Industrial │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/prefab-buildings/prefab-commercial-buildings,Prefab Commercial Buildings | Pre-Built | SAMAN Portable,prefab commercial building,Rendered product card/grid; shared listing or commercial template,card,template-generated,prefab-buildings,TEMPORARY_200_NOINDEX_FOLLOW,/product/prefab-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-042,https://www.samanportable.com/product/prefab-buildings,Prefab Building │ Commercial & Industrial │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/prefab-buildings/modular-office-buildings,"Modular Office Buildings │ Multi-Room, Multi-Floor │ SAMAN",modular office building,Rendered product card/grid; shared listing or commercial template,card,template-generated,prefab-buildings,TEMPORARY_200_NOINDEX_FOLLOW,/product/prefab-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-043,https://www.samanportable.com/product/prefab-buildings,Prefab Building │ Commercial & Industrial │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/puf-panel/puf-panel-roofing,"PUF Panel Roofing Sheet, Insulated Roof Panels | SAMAN",insulated PUF roofing for prefab structures,Rendered product card/grid; shared listing or commercial template,card,template-generated,puf-panel,TEMPORARY_200_NOINDEX_FOLLOW,/product/puf-panel,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-044,https://www.samanportable.com/product/prefab-buildings,Prefab Building │ Commercial & Industrial │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/prefab-buildings/prefab-industrial-buildings,Prefab Industrial Building | Heavy-Duty | SAMAN Portable,prefab industrial building,Rendered product card/grid; shared listing or commercial template,card,template-generated,prefab-buildings,TEMPORARY_200_NOINDEX_FOLLOW,/product/prefab-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-045,https://www.samanportable.com/product/prefab-buildings,Prefab Building │ Commercial & Industrial │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/prefab-buildings/prefabricated-steel-buildings,Prefabricated Steel Buildings: 9 Powerful tips for Strength,prefabricated steel buildings,Rendered product card/grid; shared listing or commercial template,card,template-generated,prefab-buildings,TEMPORARY_200_NOINDEX_FOLLOW,/product/prefab-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-046,https://www.samanportable.com/product/prefab-buildings,Prefab Building │ Commercial & Industrial │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/prefab-buildings/modular-office-buildings,"Modular Office Buildings │ Multi-Room, Multi-Floor │ SAMAN",modular office building,Rendered product card/grid; shared listing or commercial template,card,template-generated,prefab-buildings,TEMPORARY_200_NOINDEX_FOLLOW,/product/prefab-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-047,https://www.samanportable.com/product/prefab-buildings,Prefab Building │ Commercial & Industrial │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/prefab-buildings/buy-prefabricated-buildings,Buy Prefabricated Buildings │ Factory-Fitted │ SAMAN,buy prefabricated buildings,Rendered product card/grid; shared listing or commercial template,card,template-generated,prefab-buildings,TEMPORARY_200_NOINDEX_FOLLOW,/product/prefab-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-048,https://www.samanportable.com/product/prefab-buildings,Prefab Building │ Commercial & Industrial │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/peb-constructions,"PEB Construction │ Turnkey Design, Supply & Erect │ SAMAN",PEB constructions,Rendered product card/grid; shared listing or commercial template,card,template-generated,peb-constructions,TEMPORARY_200_NOINDEX_FOLLOW,/product/pre-engineered-buildings,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-049,https://www.samanportable.com/product/prefabricated-houses,Prefabricated House │ Built in 15 Days │ SAMAN Portable,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/puf-panel/puf-panel-house,"PUF Panel House, Price, Design & Residential Use | SAMAN",homes built with PUF wall panels,Rendered product card/grid; shared listing or commercial template,card,template-generated,puf-panel,TEMPORARY_200_NOINDEX_FOLLOW,/product/puf-panel,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-050,https://www.samanportable.com/product/prefabricated-houses,Prefabricated House │ Built in 15 Days │ SAMAN Portable,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/prefabricated-houses/bunkhouse-cabin,Bunkhouse Cabin — Factory-Built Crew Sleeping Unit | SAMAN,bunkhouse cabin,Rendered product card/grid; shared listing or commercial template,card,template-generated,prefabricated-houses,TEMPORARY_200_NOINDEX_FOLLOW,/product/prefabricated-houses/prefabricated-bunkhouse,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
